3.575000000000000053e-03 -6.574727560048559960e-01
4.407000000000000327e-03 -6.574740724287119198e-01
4.686000000000000061e-03 -6.574293140176079575e-01
4.807999999999999774e-03 -6.573838973945759223e-01
4.922000000000000160e-03 -6.573852138184319571e-01
5.060000000000000261e-03 -6.573852138184319571e-01
5.215000000000000017e-03 -6.573878466661439157e-01
5.386000000000000162e-03 -6.573964034212079754e-01
5.566999999999999900e-03 -6.573996944808480070e-01
5.761999999999999761e-03 -6.574003526927759689e-01
5.968000000000000214e-03 -6.574003526927759689e-01
6.185000000000000393e-03 -6.573990362689199340e-01
6.424000000000000023e-03 -6.574010109047039307e-01
6.689999999999999766e-03 -6.574010109047039307e-01
6.982999999999999624e-03 -6.574029855404879275e-01
7.311999999999999923e-03 -6.574036437524158893e-01
7.679000000000000062e-03 -6.574029855404879275e-01
8.087000000000000438e-03 -6.574023273285599656e-01
8.536999999999999450e-03 -6.573996944808480070e-01
9.029000000000000567e-03 -6.574010109047039307e-01
9.565999999999999850e-03 -6.574003526927759689e-01
1.014100000000000071e-02 -6.574029855404879275e-01
1.074899999999999987e-02 -6.574029855404879275e-01
1.138899999999999982e-02 -6.574069348120559209e-01
1.206199999999999981e-02 -6.574102258716959524e-01
1.275599999999999998e-02 -6.574128587194079110e-01
1.346900000000000007e-02 -6.574128587194079110e-01
1.420300000000000035e-02 -6.574056183881998860e-01
1.494700000000000022e-02 -6.574043019643439623e-01
1.569800000000000015e-02 -6.574029855404879275e-01
1.645699999999999941e-02 -6.573990362689199340e-01
1.722200000000000120e-02 -6.573983780569919722e-01
1.798699999999999952e-02 -6.574023273285599656e-01
1.875999999999999890e-02 -6.574102258716959524e-01
1.954099999999999934e-02 -6.574023273285599656e-01
2.032799999999999885e-02 -6.574010109047039307e-01
2.112699999999999995e-02 -6.574049601762719242e-01
2.190699999999999939e-02 -6.574075930239839938e-01
2.270199999999999996e-02 -6.574036437524158893e-01
2.350500000000000159e-02 -6.574016691166320037e-01
2.432899999999999993e-02 -6.574003526927759689e-01
2.515799999999999981e-02 -6.574043019643439623e-01
2.599500000000000074e-02 -6.574016691166320037e-01
2.684100000000000028e-02 -6.573990362689199340e-01
2.768199999999999827e-02 -6.574029855404879275e-01
2.852700000000000027e-02 -6.574049601762719242e-01
2.937400000000000080e-02 -6.574043019643439623e-01
3.021899999999999933e-02 -6.573950869973519406e-01
3.107899999999999899e-02 -6.573977198450638992e-01
3.194700000000000317e-02 -6.573977198450638992e-01
3.284499999999999920e-02 -6.573970616331359373e-01
3.375299999999999828e-02 -6.573950869973519406e-01
3.467699999999999949e-02 -6.573871884542159538e-01
3.561500000000000082e-02 -6.573799481230079289e-01
3.658200000000000340e-02 -6.573740242156559388e-01
3.758000000000000229e-02 -6.573648092486639172e-01
3.860700000000000243e-02 -6.573588853413119271e-01
3.966800000000000187e-02 -6.573523032220319751e-01
4.074699999999999850e-02 -6.573470375266079468e-01
4.185699999999999837e-02 -6.573424300431118805e-01
4.299900000000000250e-02 -6.573404554073279948e-01
4.417599999999999999e-02 -6.573286075926240146e-01
4.539699999999999985e-02 -6.573193926256318820e-01
4.663799999999999890e-02 -6.573154433540639996e-01
4.791800000000000226e-02 -6.573042537512879813e-01
4.921099999999999780e-02 -6.572917477246559281e-01
5.057199999999999890e-02 -6.572825327576640175e-01
5.198300000000000143e-02 -6.572792416980239860e-01
5.342800000000000327e-02 -6.572713431548878882e-01
5.488799999999999929e-02 -6.572535714328319179e-01
5.636499999999999844e-02 -6.572371161346319823e-01
5.784999999999999865e-02 -6.572193444125760120e-01
5.935900000000000204e-02 -6.572068383859439589e-01
6.087000000000000050e-02 -6.571838009684639603e-01
6.238699999999999801e-02 -6.571627381867679585e-01
6.392899999999999971e-02 -6.571423336169999185e-01
6.548199999999999854e-02 -6.571186379875919581e-01
6.707000000000000461e-02 -6.570949423581839977e-01
6.868299999999999406e-02 -6.570732213645599229e-01
7.027799999999999325e-02 -6.570541332186480288e-01
7.191899999999999682e-02 -6.570330704369519159e-01
7.358699999999999963e-02 -6.570113494433279522e-01
7.523299999999999432e-02 -6.569850209662079221e-01
7.689300000000000301e-02 -6.569593507010159650e-01
7.857999999999999707e-02 -6.569435536147439914e-01
8.027099999999999513e-02 -6.569159087137679265e-01
8.198999999999999344e-02 -6.568849727531519411e-01
8.372799999999999687e-02 -6.568645681833839012e-01
8.546900000000000330e-02 -6.568395561301199059e-01
8.721199999999999786e-02 -6.568033544740798924e-01
8.896400000000000141e-02 -6.567724185134639070e-01
9.073799999999999921e-02 -6.567408243409199597e-01
9.252799999999999914e-02 -6.567092301683759015e-01
9.431599999999999706e-02 -6.566776359958319542e-01
9.609900000000000386e-02 -6.566381432801519091e-01
9.789299999999999391e-02 -6.565993087763999370e-01
9.970099999999999796e-02 -6.565604742726479648e-01
1.015009999999999940e-01 -6.565143994376879677e-01
1.033089999999999981e-01 -6.564749067220080336e-01
1.051340000000000052e-01 -6.564301483109039603e-01
1.069729999999999986e-01 -6.563788077805199350e-01
