0.000000000000000000e+00 -1.916109999999999980e+00 -7.091674044061199167e-01 -2.993524999999999991e+00
3.643099999999999811e-02 -1.916360999999999981e+00 -7.089225495689038814e-01 -2.993405000000000094e+00
1.120239999999999986e-01 -1.918525999999999954e+00 -7.080017110816320125e-01 -2.994169999999999998e+00
1.963509999999999978e-01 -1.922941000000000011e+00 -7.057150828437599444e-01 -2.995111000000000079e+00
2.981190000000000229e-01 -1.930307999999999913e+00 -7.020402856497358623e-01 -2.996894999999999865e+00
4.117169999999999996e-01 -1.940322000000000102e+00 -6.978632727546479897e-01 -3.000561999999999951e+00
5.258819999999999606e-01 -1.951017000000000001e+00 -6.939548103261838907e-01 -3.005320000000000213e+00
6.423050000000000148e-01 -1.962477000000000027e+00 -6.898896934588559793e-01 -3.010603999999999836e+00
7.611320000000000308e-01 -1.974404000000000048e+00 -6.860562671901839771e-01 -3.016706999999999805e+00
8.850329999999999586e-01 -1.986769000000000007e+00 -6.831417047729999581e-01 -3.024643999999999888e+00
1.009970999999999952e+00 -1.998849000000000098e+00 -6.806714354072159745e-01 -3.032970999999999862e+00
1.140219000000000094e+00 -2.011104000000000003e+00 -6.778681108058639548e-01 -3.040967000000000198e+00
1.270337999999999967e+00 -2.022851000000000177e+00 -6.756275574029519948e-01 -3.049310000000000187e+00
1.395782999999999996e+00 -2.033837000000000117e+00 -6.734857357892398699e-01 -3.057042000000000037e+00
1.526388999999999996e+00 -2.044945999999999930e+00 -6.713840651031358631e-01 -3.064957000000000154e+00
1.658360999999999974e+00 -2.055543000000000120e+00 -6.692692301784719522e-01 -3.072341999999999906e+00
1.796975999999999907e+00 -2.066358999999999835e+00 -6.677941772478239724e-01 -3.080918000000000045e+00
1.939597999999999933e+00 -2.077126999999999946e+00 -6.665606880947518853e-01 -3.089811000000000085e+00
2.082504000000000133e+00 -2.087320000000000064e+00 -6.654094754326799199e-01 -3.098254999999999981e+00
2.232968000000000064e+00 -2.097922000000000065e+00 -6.637172125657919697e-01 -3.106285999999999881e+00
2.379233999999999849e+00 -2.107543000000000166e+00 -6.622237297011599466e-01 -3.113637999999999906e+00
2.524016000000000037e+00 -2.116668000000000216e+00 -6.612640567101359945e-01 -3.121304999999999996e+00
2.669181000000000026e+00 -2.125763000000000069e+00 -6.596139194066399369e-01 -3.127893999999999952e+00
2.820826999999999973e+00 -2.134615000000000151e+00 -6.589313536373039293e-01 -3.135708000000000162e+00
2.981268000000000029e+00 -2.143459000000000003e+00 -6.578909180427143788e-01 -3.142971000000000181e+00
3.143857999999999819e+00 -2.151607999999999965e+00 -6.567969698183783178e-01 -3.149458000000000091e+00
3.310576000000000185e+00 -2.159651000000000209e+00 -6.560284415712455131e-01 -3.156334000000000195e+00
3.477165999999999979e+00 -2.167314000000000185e+00 -6.553795104314303899e-01 -3.163011000000000017e+00
3.638018999999999892e+00 -2.174094000000000193e+00 -6.549261340554239919e-01 -3.169102000000000086e+00
3.804659000000000013e+00 -2.180984000000000034e+00 -6.543496062276886738e-01 -3.175116000000000049e+00
3.968938000000000077e+00 -2.187167000000000083e+00 -6.540763824563758932e-01 -3.180883999999999823e+00
4.136713000000000306e+00 -2.193216000000000054e+00 -6.533932242963047532e-01 -3.185894999999999921e+00
4.300850999999999758e+00 -2.198608999999999813e+00 -6.532865939639688202e-01 -3.191126000000000129e+00
4.466918999999999862e+00 -2.204013000000000222e+00 -6.527304048848087126e-01 -3.195685000000000109e+00
4.638543999999999556e+00 -2.209079000000000015e+00 -6.523923472385879663e-01 -3.200236999999999998e+00
4.817782000000000231e+00 -2.214046999999999876e+00 -6.517628333506487737e-01 -3.204248999999999903e+00
4.994233999999999618e+00 -2.218649000000000093e+00 -6.511799208672119921e-01 -3.207965999999999873e+00
5.163251999999999953e+00 -2.222503999999999813e+00 -6.508119145782671477e-01 -3.211262000000000061e+00
5.347239000000000075e+00 -2.227066000000000212e+00 -6.502315033001567768e-01 -3.214941000000000049e+00
5.526945000000000441e+00 -2.230516999999999861e+00 -6.500716236228455402e-01 -3.218150000000000066e+00
5.711890000000000356e+00 -2.233782999999999852e+00 -6.500155439665800117e-01 -3.221331000000000166e+00
5.893697999999999659e+00 -2.236562000000000161e+00 -6.499183260648143667e-01 -3.223962000000000216e+00
6.082370000000000054e+00 -2.239335000000000075e+00 -6.497826685864535046e-01 -3.226529000000000202e+00
6.273755000000000415e+00 -2.241772000000000098e+00 -6.494762709339695350e-01 -3.228501000000000065e+00
6.466069000000000067e+00 -2.244072000000000067e+00 -6.497568008576831700e-01 -3.231227000000000071e+00
6.662716999999999778e+00 -2.246445000000000025e+00 -6.494001816350927214e-01 -3.233058000000000209e+00
6.856222999999999956e+00 -2.248393000000000086e+00 -6.493291605680615586e-01 -3.234897999999999829e+00
7.057350999999999708e+00 -2.250535999999999870e+00 -6.489868903655016119e-01 -3.236521000000000203e+00
7.258843999999999852e+00 -2.252364000000000033e+00 -6.489942623390951848e-01 -3.238360000000000127e+00
7.463066999999999673e+00 -2.254093999999999820e+00 -6.486300078581399564e-01 -3.239536000000000193e+00
7.665242000000000111e+00 -2.255501999999999896e+00 -6.484231318491695539e-01 -3.240629999999999900e+00
7.872015000000000207e+00 -2.256924000000000152e+00 -6.486870748322975944e-01 -3.242452999999999808e+00
8.067878000000000327e+00 -2.258173000000000208e+00 -6.482737177415135443e-01 -3.243074000000000012e+00
8.275363999999999720e+00 -2.259440999999999811e+00 -6.480567710900447809e-01 -3.244012999999999813e+00
8.479812000000000793e+00 -2.260146000000000210e+00 -6.483723178883279425e-01 -3.245197000000000109e+00
8.687568000000000623e+00 -2.261057999999999790e+00 -6.485859734801567855e-01 -3.246433999999999820e+00
8.886551000000000755e+00 -2.261512999999999884e+00 -6.485915024603520207e-01 -3.246897000000000144e+00
9.094417999999999225e+00 -2.262176000000000187e+00 -6.485784040429847241e-01 -3.247539999999999871e+00
9.308075999999999794e+00 -2.262958999999999943e+00 -6.483369719077942683e-01 -3.247955999999999843e+00
9.526343000000000671e+00 -2.263398000000000021e+00 -6.487073477596799753e-01 -3.248956999999999873e+00
9.743306999999999718e+00 -2.264022999999999897e+00 -6.484168130146606979e-01 -3.249140999999999835e+00
9.960585999999999274e+00 -2.264517000000000113e+00 -6.484171421206247343e-01 -3.249636000000000191e+00
1.018333999999999939e+01 -2.265080000000000204e+00 -6.483386832588071691e-01 -3.250080000000000080e+00
1.040770499999999998e+01 -2.265433999999999948e+00 -6.481961145552023185e-01 -3.250217000000000134e+00
1.062849699999999942e+01 -2.266049000000000202e+00 -6.482219164627799346e-01 -3.250872000000000206e+00
1.084476599999999991e+01 -2.266417000000000126e+00 -6.481864388398607124e-01 -3.251186000000000131e+00
1.107263599999999926e+01 -2.267028999999999961e+00 -6.479018280021935361e-01 -3.251364999999999839e+00
1.130149699999999946e+01 -2.267074000000000034e+00 -6.480280730499838882e-01 -3.251602000000000103e+00
1.153008799999999923e+01 -2.267430000000000057e+00 -6.481780137271823117e-01 -3.252186000000000021e+00
1.176721099999999964e+01 -2.267860999999999905e+00 -6.476263004891327224e-01 -3.251778999999999975e+00
1.199825799999999987e+01 -2.268013999999999974e+00 -6.478150098488903996e-01 -3.252219000000000193e+00
1.223207299999999975e+01 -2.267951000000000050e+00 -6.482502853968767909e-01 -3.252816000000000152e+00
1.246751399999999954e+01 -2.267825000000000202e+00 -6.481225922828447450e-01 -3.252495999999999832e+00
1.270929899999999968e+01 -2.267735000000000056e+00 -6.481013978587631952e-01 -3.252374000000000098e+00
1.295163900000000012e+01 -2.267542000000000169e+00 -6.482050004162304147e-01 -3.252339000000000091e+00
